Manufacturer,Model,Variant,TOTAL,2005,2004,2003,2002,2001,2000,1999,1998,TOTAL,1997,1996,1995,1994,1993,1992,1991,Pre-1991,Umbral,
Min_Smin_Rover Cars,Cityrover,All,23,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,No,
Min_Smin_Rover Cars,Metro,C,529,0,0,0,0,0,1,0,0,529,0,0,0,24,56,150,222,76,Si,
Min_Smin_Rover Cars,Metro,CD,102,0,0,0,0,0,0,0,0,102,0,0,0,85,16,1,0,0,Si,
Min_Smin_Rover Cars,Metro,L& LE,639,0,0,0,0,0,0,0,0,639,0,0,11,93,111,121,184,119,Si,
Min_Smin_Rover Cars,Metro,LD,80,0,0,0,0,0,0,0,0,80,0,0,6,35,18,21,0,0,Si,
Min_Smin_Rover Cars,Metro,S I,121,0,0,0,0,0,0,0,0,121,0,0,2,46,73,0,0,0,Si,
Min_Smin_Rover Cars,Metro,S& SD,1010,0,0,0,0,0,0,0,0,1010,1,0,25,165,189,319,196,115,Si,
Min_Smin_Rover Cars,Metro,SL,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,25,63,10,Si,
Min_Smin_Rover Cars,Metro,Other,2244,0,0,0,0,0,0,3,0,2244,2,0,49,640,641,360,203,346,Si,
Min_Smin_Rover Cars,Mini,All,327,0,0,0,0,4,15,9,14,327,10,8,15,52,33,66,63,38,Si,
Min_Smin_Rover Cars,Streetwise,All,14,0,11,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,No,
Min_Smin_Seat,Arosa,All,40,0,8,5,7,4,0,4,10,40,2,0,0,0,0,0,0,0,No,
Min_Smin_Seat,Marbella& Terra,All,39,0,0,0,0,0,0,0,0,39,0,0,0,7,9,9,7,7,No,
Min_Smin_Skoda,Fabia,All,164,20,15,29,31,32,37,0,0,164,0,0,0,0,0,0,0,0,Si,
Min_Smin_Subaru,Justy,All,65,0,0,0,0,0,0,0,0,65,8,4,6,11,4,18,9,5,No,
Min_Smin_Suzuki,Alto& Swift,All,272,11,23,19,16,20,18,17,21,272,14,21,32,4,7,18,7,24,Si,
Min_Smin_Suzuki,Ignis,All,22,0,7,2,7,4,2,0,0,22,0,0,0,0,0,0,0,0,No,
Min_Smin_Suzuki,Wagon R+,All,45,2,0,7,10,7,4,13,2,45,0,0,0,0,0,0,0,0,No,
Min_Smin_Talbot,Samba& Sunbeam,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,
Min_Smin_Toyota,1000& Starlet,All,87,1,0,3,0,0,0,9,21,87,18,4,2,2,2,2,9,14,Si,
Min_Smin_Toyota,Aygo,All,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,No,
Min_Smin_Toyota,Yaris,All,422,43,72,93,54,57,59,44,0,422,0,0,0,0,0,0,0,0,Si,
Min_Smin_Toyota,Yaris Verso,All,9,0,3,0,2,4,0,0,0,9,0,0,0,0,0,0,0,0,No,
Min_Smin_Vauxhall,Agila,All,32,2,5,7,7,7,4,0,0,32,0,0,0,0,0,0,0,0,No,
Min_Smin_Vauxhall,Chevette,All,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,No,
Min_Smin_Vauxhall,Corsa,CDX,32,0,0,0,0,0,6,6,2,32,0,12,6,0,0,0,0,0,No,
Min_Smin_Vauxhall,Corsa,Elegance,53,0,0,35,14,2,2,0,0,53,0,0,0,0,0,0,0,0,No,
Min_Smin_Vauxhall,Corsa,Envoy,195,0,0,0,0,0,107,84,4,195,0,0,0,0,0,0,0,0,Si,
Min_Smin_Vauxhall,Corsa,GLS,327,0,0,8,16,27,37,25,29,327,20,12,13,67,73,0,0,0,Si,
Min_Smin_Vauxhall,Corsa,GSI,49,0,0,0,0,0,0,0,0,49,0,0,6,39,4,0,0,0,No,
Min_Smin_Vauxhall,Corsa,LS,2012,0,0,0,0,0,0,2,41,2012,66,130,286,710,777,0,0,0,Si,
Min_Smin_Vauxhall,Corsa,Merit,1356,0,0,0,3,0,0,0,49,1356,58,78,309,499,360,0,0,0,Si,
